,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-06-04,0.0006713912439909207,0.009229595004427287,0.009900986248418207,0.04609248903419266,1
2019-06-05,0.0008037248520737444,-0.03940368110148008,-0.038599956249406334,-0.019916336010777847,-1
2019-06-06,0.000894661537431683,-0.018437396521016183,-0.0175427349835845,-0.0014392913935426192,-1
2019-06-07,0.000985009890295232,-0.013569277300428144,-0.012584267410132912,0.01169382934593465,-1
2019-06-10,0.0005919242304128659,-0.022476173187645172,-0.021884248957232306,-0.013570429101857918,-1
2019-06-11,0.00023216643969182064,-0.015575554598120999,-0.015343388158429179,-0.001185450339836214,-1
2019-06-12,0.0003984117065195777,-0.008429783312555523,-0.008031371606035944,-0.014700622360066971,-1
2019-06-13,0.00028117171889329107,0.0012433499479076887,0.0015245216668009797,0.002981478306257048,1
2019-06-14,0.00028502499157721074,0.00014801550890373392,0.00043304050048094465,-0.007082713977470986,1
2019-06-17,-7.136989684844771e-05,0.011430297829588999,0.011358927932740551,0.013237680056858237,1
2019-06-18,0.00038843145426599153,-0.007667879531526628,-0.007279448077260636,0.017297338987672127,-1
2019-06-19,0.00019183760519618918,-0.02133894932218415,-0.021147111716987962,-0.026173092667754475,-1
2019-06-20,0.00032254040692984975,0.0051376854388770115,0.005460225845806861,0.010930370140496883,1
2019-06-21,0.0003931068817281397,-0.011087091991619218,-0.010693985109891078,-0.01141855967067144,-1
2019-06-24,0.0003609170367902049,0.007501043727793757,0.007861960764583962,0.00240850700312648,1
2019-06-25,0.00032362218808598876,-9.200957174939362e-05,0.00023161261633659514,-0.014267033287402298,-1
2019-06-26,-1.8104590909560915e-05,0.014540162344200698,0.014522057753291137,0.03667208570758803,1
2019-06-27,0.0004843960941442752,-0.014243475019490552,-0.013759078925346276,-0.021698783097208317,-1
2019-06-28,1.436283885419833e-05,-0.001633452910202259,-0.0016190900713480606,-0.00885337673195553,-1
2019-07-01,0.00020327572511702726,0.016053124908082993,0.01625640063320002,0.027328404058729584,1
2019-07-02,-5.01393804443487e-05,-0.01437321516589688,-0.014423354546341229,-0.012337250312176713,-1
2019-07-03,2.1384951971652736e-05,-0.007908250796324734,-0.00788686584435308,0.0024153185696414916,-1
2019-07-05,-0.00020116679566048736,-0.008884278278433896,-0.009085445074094384,-0.009133826756920569,-1
2019-07-08,2.054131973626825e-05,0.0008341986497895561,0.0008547399695258244,-0.019948346190781473,1
2019-07-09,8.938462670656727e-06,0.023771467690719725,0.02378040615339038,0.026910351919168143,1
2019-07-10,2.1858334866591172e-05,-0.011358067621049128,-0.011336209286182538,0.0037591325839870177,-1
2019-07-11,-3.090774247614427e-05,-0.001072646449550757,-0.0011035541920269014,-0.017149133463163303,-1
2019-07-12,8.975164928903011e-05,0.0021617342098341056,0.0022514858591231356,0.014962498251900685,1
2019-07-15,0.00026120875755214625,-0.0054167367419085625,-0.005155527984356416,0.0016976484479661585,-1
2019-07-16,0.0002957652050708025,-0.005843312563161373,-0.005547547358090571,-0.012817023415373666,-1
2019-07-17,0.0002925089421285533,-0.00023799617372266795,5.451276840588536e-05,-0.002173406345301757,-1
2019-07-18,0.0003845094306716981,0.009728675858190124,0.010113185288861822,0.01693504150967081,1
2019-07-19,0.00031342848138429054,-0.013195916524155556,-0.012882488042771265,-0.026335806605604365,-1
2019-07-22,0.0002257419924427099,0.018892765774139127,0.019118507766581836,0.037636911250191744,1
2019-07-23,0.0003728626901227936,-0.025516491918954123,-0.02514362922883133,-0.014809526012815183,-1
2019-07-24,0.00048220521618822876,-0.0036066875291144813,-0.0031244823129262527,-0.008601527910337756,-1
2019-07-25,0.000552906246491287,0.0010658133304223014,0.0016187195769135883,-0.0071243838459135785,1
2019-07-26,0.00012497474404213744,0.00819024960779267,0.008315224351834807,0.01141046566688084,1
2019-07-29,5.9029367544708576e-05,-0.002672641984335333,-0.0026136126167906246,0.005823382238466825,-1
2019-07-30,6.179998277128594e-05,-0.014656947549932369,-0.014595147567161083,-0.01359675065061366,-1
2019-07-31,-4.212700295328162e-05,0.004135466982673103,0.0040933399797198206,0.02450050529154136,1
2019-08-01,0.0006102848574427099,-0.018522079868861924,-0.017911795011419214,-0.042075813198296945,-1
2019-08-02,0.000354101074321466,0.022051644738394376,0.02240574581271584,0.0004917071311265966,1
2019-08-05,0.0003412229892227359,0.01953538590876694,0.019876608897989676,-0.03238267699039468,1
2019-08-06,0.0005294395762360971,0.054800006554517916,0.055329446130754016,0.07252127268496626,1
2019-08-07,0.000657527582048806,-0.018442059236790886,-0.01778453165474208,-0.008451413746674883,-1
2019-08-08,0.0007668541680405583,-0.008166675839392786,-0.007399821671352228,0.011514134347264803,-1
2019-08-09,0.0002743175578439536,-0.0218054758802413,-0.021531158322397347,-0.030090719774267076,-1
2019-08-12,0.000406347584908372,0.008785495811943952,0.009191843396852323,0.005733820819392436,1
2019-08-13,0.0005956364967501377,0.0028567195969488295,0.003452356093698967,0.044017013168126215,1
2019-08-14,0.0008676584542271151,-0.038937727101650346,-0.03807006864742323,-0.07169334833210855,-1
2019-08-15,0.0009875172545052336,0.030026185580926016,0.03101370283543125,0.02522308948172575,1
2019-08-16,0.0006280853203812661,0.007103522748958528,0.007731608069339794,0.028314611572476577,1
2019-08-19,0.0005837195801424452,-0.025712593351253633,-0.02512887377111119,-0.004848240440220999,-1
2019-08-20,0.00046610490937476544,-0.012263717138883476,-0.011797612229508711,-0.018424866771507606,-1
2019-08-21,0.0007414215038863976,-0.006850119243860513,-0.006108697739974116,0.010732689718221498,-1
2019-08-22,0.000829484778452083,-0.004928114630486198,-0.004098629852034115,-0.011627075511644162,-1
2019-08-23,0.0006864631558098863,-1.4732484439804239e-05,0.000671730671370082,-0.046475894185259874,-1
2019-08-26,0.0004665004163431388,0.04773597549100097,0.04820247590734411,0.06614365371449751,1
2019-08-27,0.0005901282946091368,-0.016685514400632644,-0.016095386106023506,-0.030168882088068484,-1
2019-08-28,0.0007451849540548354,0.01058768117378874,0.011332866127843576,0.018035995178990773,1
2019-08-29,0.0007975435696240855,-0.006187170110056304,-0.005389626540432219,0.010101960460397364,-1
2019-08-30,0.0009103736631548212,-0.01377282200215041,-0.012862448338995589,-0.018082563833589888,-1
2019-09-03,0.0011495635567554962,0.008479622991121675,0.009629186547877172,-0.013378184607956433,1
2019-09-04,0.0007935879127326706,0.015423804470355344,0.016217392383088013,0.031495025476356735,1
2019-09-05,0.000843680366851349,-0.014180877523398845,-0.013337197156547496,0.0025385667587033804,-1
